ORF	NAME	alpha 0	alpha 7	alpha 14	alpha 21	alpha 28	alpha 35	alpha 42	alpha 49	alpha 56	alpha 63	alpha 70	alpha 77	alpha 84	alpha 91	alpha 98	alpha 105	alpha 112	alpha 119	Elu 0	Elu 30	Elu 60	Elu 90	Elu 120	Elu 150	Elu 180	Elu 210	Elu 240	Elu 270	Elu 300	Elu 330	Elu 360	Elu 390	cdc15 10	cdc15 30	cdc15 50	cdc15 70	cdc15 90	cdc15 110	cdc15 130	cdc15 150	cdc15 170	cdc15 190	cdc15 210	cdc15 230	cdc15 250	cdc15 270	cdc15 290	spo 0	spo 2	spo 5	spo 7	spo 9	spo 11	spo5 2	spo5 7	spo5 11	spo- early	spo- mid	heat 0	heat 10	heat 20	heat 40	heat 80	heat 160	dtt 15	dtt 30	dtt 60	dtt 120	cold 0	cold 20	cold 40	cold 160	diau a	diau b	diau c	diau d	diau e	diau f	diau g
YDR362C	TFC6   TRANSCRIPTION       TFIIIC 91 KD SUBUNIT	-0.36	-0.79	-0.29	-0.42	-0.22	-0.69	-0.34	-0.42	-0.23	-0.15	-0.25	-0.09	-0.09	-0.56	-0.07	-0.27	-0.22	-0.42	-0.15	-0.01	-0.14	0.24	-0.2	-0.3	-0.07	0.3	0.06	0.23	-0.25	0.08	-0.67	0.23	-0.32	-0.07	0.36	-0.32	-0.69	-0.43	-0.56	0.07	0.57	-0.23	-0.38	0.61	-0.34	-0.51	-0.54	-0.01	0.2	0.48	1.31	1.16	0.97	-0.71	0.54	0.41	0.7	0.86	-0.2	-0.17	0.15	0.45	0.31	0.44	-0.12	-0.42	-0.18	-0.15	0.5	0.71	-0.09	0.5	-0.32	-0.25	0.39	-0.03	-0.22	0.43	0.25
YOR237W	HES1   STEROL METABOLISM     SIMILAR TO HUMAN OXYSTEROL BINDING PROTEIN	-0.14	-0.69	-0.18	0.01	0.24	0.5	0.3		-0.23	-0.3	-0.23	-0.43	-0.17	-0.3	0.1	-0.2	-0.15	0.1	-0.29	-0.43	-0.36	-0.34	-0.54	-0.07	0.08	-0.04	0.01	-0.29	-0.58	-0.3	-2.47	-0.58	-0.36	-0.42	-0.14	-0.4	-0.49	-0.4	-0.47	-0.04	-0.42	-0.62	-0.79	-0.1	-0.64	-0.45	-0.67	-0.36	0.11	0.58	1.7	1.2	1.3	-0.54	0.33	-0.07	0.9	2	-0.23	-0.51	-0.45	-0.07	0.2	-0.32	-0.47	-0.49	-0.84	-0.09	0.03	-0.4	-0.32	-0.01	-0.67	-0.12	0.52	-0.42	-0.14	0.55	0.46
YKR101W	SIR1   SILENCING        REULATOR OF SILENCING AT HML AND HMR	-1.09		-0.56	-0.25	-0.47	-0.49	-0.49	-0.74	-0.47	-0.06	-0.6	-0.42	-0.06	-0.2	-1.09	-0.49	-0.69	-0.15	-0.43	-0.1	-0.18	-0.4	-0.25	-0.51	-0.64	-0.6	-0.64	-0.56	-0.49	-0.6	-1.22	-0.51	-0.69	0.03	-0.49	-0.38	-1	-0.43	-0.64	0.21	-0.25	-0.76	-0.43	0.52	-0.94	-0.43	-0.69		0.48	0.87	1.8	1.04	1.7	-0.04	0.52	0.34	1.33	1.63	-0.1	-0.06	0.24	0.48	0.28	0.16	-0.22	0.29	-0.58	0.15	-0.47	0.24	-0.23	-0.51	-0.25	-0.42	0.16	0.08	-0.34	1.03	0.39
YBL021C	HAP3   TRANSCRIPTION       COMPONENT OF HETEROTRIMERIC CCAAT-BINDING FACTOR	-0.64	-0.58	-0.36	-0.89	-0.79	-0.01	-0.15	0.15	-0.34	0.04	-0.76	-0.06	-0.17	-0.36	-0.97	0.16	-0.43	0.03	-0.58	-0.18	-0.18	-0.01	0.03	-0.06	0.16	0.18		0.03	-0.01	0.07	-0.42	0.32	-0.03	0.36	-0.14	-0.09	0.04	-0.43	-0.25	0.7	1.25		-0.49	-0.12	-1	-0.51	-1.32	0.37	0.58	0.37	1.5	1.54	1.43	-0.49	0.82	0.33	0.65	1.29	0.31	-0.15	0.21	0.44	0.01	0.36	0.3	0.24	-0.01	-0.29	-0.36	0.01	-0.18	0.31	-0.29	0.24	0.12	-0.14	-0.36	-0.15	-0.09
YOR278W	HEM4   HEME BIOSYNTHESIS     UROPORPHYRINOGEN III SYNTHASE	-0.27	-0.43	-0.12	-0.25	-0.18	-0.27	-0.09	-0.36	-0.25	-0.4	-0.45	-0.36	-0.06	-0.49	-0.29	-0.62	-0.1	0.26	0.18	-0.29	-0.18	-0.32	0.12	0.08	-0.64	-0.14	-0.25	-0.4	-0.1	-0.12	-0.18	-0.01		0.28	0.57	0.62	0.66	0.57	0.51	0.48	0.38	0.23	0.43	-0.4	0.37	0.26	0.51	-0.32	0.52	0.86	2.02	1.53	0.93	-0.62	0.6	-0.79	0.29	0.9	-0.25	-0.58	-0.36	-0.06	-0.64	-0.4	0.04	0.08	-0.29	-0.07	-0.36	0.45	-0.22	-0.45	-0.14	-0.25	0.11	-0.54	-0.14	-0.32	-0.01
YOL103W	ITR2   TRANSPORT        INOSITOL PERMEASE	-0.29	-0.54	0.08	0.01	0.44	0.34	-0.09	0.21	0.38	-0.25	0.61	0.1	0.19	-0.03	0.61	0.2	-0.2	-0.69	-1	-0.6	-0.4	-0.12	0.06	-0.29	0.07	0.12	-0.22	-0.22	-0.23	-0.18	-0.51	-0.45	0.15	-0.1	0.01		-0.03	-0.23	-0.22	-0.09	-1.64	-0.14	-0.34	-0.69	-0.4	-0.54	-0.54		0.49	1.2	1.5	1.5	0.99	-0.89	0.31	-0.22	1.49	1.1	-0.17	-0.67	-0.27	-0.3		0.07	-0.29	-0.69	-0.2	-0.06	0.01	-0.42	-0.04		0.06	0.14	0.32	0.15	0.21	-0.06	-0.32
YNL216W	RAP1   TRANSCRIPTION       TRANSCRIPTIONAL REPRESSOR AND ACTIVATOR	-0.84	-0.58	-0.67	-0.56	0.11	-0.17	0.15	-0.17	-0.22	-0.23	-0.23	-0.42	-0.2	-0.36	0.08	0.07	-0.09	0.53	-0.43	-0.58	-0.71	-0.42	-0.14	-0.22	-0.14	0.2	0.31	0.6	-0.43	0.18		-0.1	-0.45	-0.18	0.07	0.11	-0.04	-0.6	-0.45	-0.09	-0.32	-0.04	-0.12	-0.49	-0.62	-0.58	-0.4	-0.47	1.13	1.47	1.49	1.23	1.1	-0.54	-0.1	-0.18	2.14	1.54	-0.2	-0.62	-0.1	0.16	-0.14	0.03	-0.86	-0.71	-0.29	-0.45	0.29	-0.12	0.29	-0.43	-0.29	-0.27	-0.51	-0.81	-0.71	-2.12	-1.03
YER129W	PAK1   DNA REPLICATION     PROTEIN KINASE; SUPPRESSES POL. ALPHA MUTATIONS	-0.1	-0.34	-0.34	0.25	-0.45	-0.2	0.03	-0.2	-0.1		-0.32	-0.18	-0.1	-0.17	-0.27	0.04	-0.12	0.14	-0.51	-0.34	-0.23	0.14	-0.03	0.26	-0.06	0.1	0.21	0.18	-0.15	0.19	0.04	0.07	-0.23	-0.25	-0.32	-0.45	-0.67	-0.58	-0.74	-0.64	-0.76	-0.47	-0.81	-0.32	-0.67	-0.81	-1	-0.25	0.86	1.08	1.64	1.41	1.34	-0.36	0.24	0.28	1.11	1.27	-0.38	-0.64	-0.62		-0.29	-0.06	-0.29	-0.51	-0.54	-0.22	-0.01	0.51	0.33	0.7	0.06	-0.17	0.01	-0.3	-0.49	-1.06	-1.18
YOL067C	RTG1   ORGANELLE COMMUNICATION  H-L-H TRANSCRIPTION FACTOR	0.07	-0.4	0.25	-0.17	-0.22	0.06	0.21	0.07	0.07		0.1	-0.25	-0.32	-0.43	-0.06	-0.04	0.14	0.15	0.67	0.07	-0.23	-0.49	-0.12	-0.38	-0.2	-0.1	-0.06	-0.18	-0.43	0.03	0.23	-0.07	-0.34	-0.42	-0.56	-0.54	-0.49	-0.36	-0.62	-0.76	-0.62	-0.45	-0.54	-0.4	-0.58	-0.71	-0.47	-0.54	0.39	1.5	1.84	1.34	0.3	-0.92	-0.06	-0.45	1.08	1.76	-0.4	-0.03	-0.27	0.03	-0.12	-0.06	-0.89	-0.56	-0.15	-0.69	-0.51	0.1	-0.36	-0.4	-0.47	-0.25	-0.18	-0.34	-0.34	-0.56	-0.49
YPL128C	TBF1   TELOMERE LENGTH REGULATI TELOMERE TTAGGG REPEAT-BINDING FACTOR	-0.86	-0.94	-0.89	-0.62	-0.23	-0.47	0.2	-0.32	-0.3	-0.34	-0.49	-0.45	-0.23	-0.36	-0.1	-0.36	-0.23	0.23	0.06	-0.64	-0.79	-0.47	-0.4	-0.15	-0.14	0.63	0.32	0.33	-0.45	0.26	-0.25	-0.12	-0.47	-0.58	-0.15	0.43	0.3	-0.43	-0.51	-0.17	-0.01	0.18	-0.04	-1.89	-0.76	-0.74	-0.64	-0.36	0.42	0.78	1.42	1.57	1.32	-0.89	-0.1	-0.12	1.01	1.04	-0.38	-0.51	-0.58	-0.03	0.03	0.38	0.38	-0.84	-0.32	-0.42	-0.81	-0.18	-0.76	1.23	-0.36	-0.01	0.28	-0.36	-0.74	0.16	-0.3
YOR188W	MSB1   POLARIZED GROWTH    UNKNOWN	-0.2	-0.49	-0.54	-0.38	0.04	-0.25	0.28	0.1	-0.23	-0.4	-0.62	-0.22	-0.12	-0.22	-0.03	0.12	-0.12	0.12	-1.06	-1.03	-0.6	0.06	-0.03	0.31	0.08	0.28	0.25	0.3	-0.12	-0.18	-0.27	-0.2	-0.43	-0.4	0.31	0.66	0.21	-0.54	-0.62	-0.36	0.3	0.21	-0.71	-0.71	-0.25	-0.47	-0.36	-0.27	0.44	0.66	1.64	1.65	1.43	-1	0.58	0.26	1.04	0.73	-0.25	-0.86	-0.29	0.76	0.08	0.4	-0.23	-0.54	0.01	-0.34	-0.43	0.46	-0.18	0.45	-0.01	-0.06	0.31	-0.36	-0.64	-0.06	-0.6
YOR034C	AKR2   ENDOCYTOSIS OF STE3P     UNKNOWN	-0.17	-0.29	-0.04	-0.1	0.18	0.11	0.14	-0.14	-0.03	0.08	-0.23	0.01	-0.04	-0.15	-0.09	-0.09	0.16	0.37	-0.62	-0.42	-0.47	-0.38	-0.3	-0.56	-0.15	0.07	0.1	0.06	-0.43	0.08	0.08	0.06	0.28	0.08	0.39	-0.17	0.12	-0.15	-0.27	-0.25	-0.09	-0.22	-0.25	-0.69	-0.4	-0.51	-0.58	-0.43	0.42	0.72	1.37	0.72	0.67	-0.51	0.21	-0.09	0.67	0.99	-0.14	-0.1	-0.49	0.19	0.25	0.82	0.1	-0.67	-0.36	-0.58	-0.56	-0.18	-0.76	-0.22	-0.15	0.04	0.18	-0.18	-0.23	0.3	-0.07
YML097C	VPS9   VACUOLAR PROTEIN TARGETI SIMILAR TO MAMMALIAN RAS INHIBITORS	-0.23	-0.04	-0.25	-0.18	-0.12	-0.43	-0.06	-0.56	-0.18	-0.45	-0.36	-0.25	0.07	-0.45	-0.25	-0.25	-0.71	-0.36	-0.56	-0.58	-0.45	0.01	-0.2	-0.32	-0.38	-0.3	-0.09	0.1	-0.2		-0.04	-0.23	-0.74	-0.1	-0.03	-0.1	-0.2	-0.36	-0.34	-0.49	-0.18	-0.09	-0.25	-0.2	-0.17	-0.45	-0.25	-0.12	0.14	0.95	1.4	1.32	1.17	-1.15	0.49	0.14	-0.22	0.31	-0.15	-0.29	-0.4	-0.47	-0.47	-0.22	-0.1	0.19	-0.1	-0.4	-0.54	0.5	-0.04	-0.04	0.15	0.23	0.33	-0.17	-0.2	0.19	-0.22
YDL065C	PEX19  PEROXISOME BIOGENESIS    UNKNOWN	-0.04	-0.34		0.03	-0.18	-0.09	0.26	-0.06	0.04	-0.15	0.11	-0.18		-0.2	0.01	-0.12	-0.17	-0.17	-0.4	-0.14	-0.56	-0.47	-0.29	-0.45	-0.42	-0.29	0.07		-0.3	-0.09	-0.18	-0.36	-0.71	-0.34		0.03	-0.06	0.28	0.15	-0.04	-0.06	-0.07	-0.1	-0.1	0.04		0.14	-0.25	0.31	0.82	1.45	1.2	0.99	-0.25	0.82	0.53	0.44	0.63	-0.67	-0.42	-0.07	-0.56	-0.3	0.01	0.11	-0.04	-0.15	-0.42	-0.2	0.45	-0.54	-0.56	-0.12	-0.22	-0.09	-0.17	0.31	-0.03	
YKL196C	YKT6   SECRETION        ER-TO_GOLGI V-SNARE	0.01	-0.32	-0.03	-0.03	-0.17	-0.03	0.31	0.31	0.31	-0.06	-0.06	-0.22	0.16	-0.49	0.15	-0.3	-0.54	-0.12	0.39	0.16	-0.27	0.12	0.1	-0.14	0.08	-0.81	0.08	-0.04	0.21	0.14		0.08	0.06	0.08	0.12	0.25	0.12	-0.09	-0.09	-0.01	0.08	0.14	0.28	-0.18		0.29	0.48	-0.3	0.25	0.71	1.48	1.03	0.98	-0.12	0.48	0.12	0.74	1.37	-0.32	-0.67	-0.49	-0.92	-0.51	-0.45	0.08	0.2	0.19	0.25	-0.62	-0.29	-0.54	-0.38	0.07	0.23	0.14	0.12		0.24	-0.62
YML098W	TAF19  TRANSCRIPTION       TFIID 19 KD SUBUNIT	-0.38	-0.07	-0.38	-0.06	-0.34	0.1	-0.1	-0.3	-0.2	0.16	-0.47	0.16	-0.22	-0.27	-0.3	-0.14	0.08	-0.22	-0.03	0.15	0.11	0.1	0.07	0.12	0.28	0.21	0.01	0.14	0.32	-0.03	-0.04	0.19	0.08	0.24	0.38	0.29	0.18	0.03	-0.03	0.06	0.42	0.37	0.21	0.79	0.26	0.26	0.53	-0.18	0.77	0.85	1.26	0.48	1.1	-0.18	0.01	-0.14	1.23	0.93	-0.23	-0.3	-0.17	-0.51	-0.18	-0.38	-0.09	-0.36	-0.15	-0.04	-0.51	0.16	-0.56	-0.58	0.04	-0.22	-0.17	-0.07	-0.22	0.4	-0.42
YGL210W	YPT32  SECRETION        RAS-LIKE GTPASE	-0.71	-0.07	-0.2	0.24	-0.22	0.21	-0.3	0.01	-0.06	0.23	-0.1	0.1	-0.01	-0.14	-0.42	-0.04	-0.12	-0.15	0.18	0.2	0.55	-0.22	0.45	0.03	0.36	0.19	-0.03	0.01	0.33	-0.01	0.18	0.1	-0.06	0.2	0.4	0.08		0.12		0.2	-0.03	0.21	0.12	0.58	0.31	0.08	0.29	0.18	1.07	1.08	1.87	1.49	1.45	-0.15	0.42	-0.01	1.65	1.93	-0.03	-0.69	-0.62	-0.62	-0.42	0.1	0.2	0.37	0.14	0.12	-0.6	0.08	-0.12	-0.1	-0.27	-0.54	-0.14	-0.27	-0.64	0.08	-0.56
YDL064W	"UBC9   PROTEIN DEGRADATION, UBI E2 UB.-CONJUGATING ENZYME"	-0.29	-0.81	-0.43	-0.3	-0.03	-0.04	0.25	-0.27	-0.04	-0.01	-0.4	-0.25	-0.22	-0.43	-0.09	-0.27	-0.03	-0.25	-0.32	-0.32	-0.03	-0.45	0.11	0.24	0.06	0.19	0.04	0.21	0.11	-0.22	-0.3	-0.04	0.1	0.23	0.39	0.48	0.29	-0.1	-0.2	-0.03	-0.09	0.38	0.19	-0.64	-0.1	-0.25	0.15	-0.3	0.83	0.97	1.65	1.38	1.08	0.01	0.34	-0.3	1.64	1.34	-0.18	-0.92	-0.89	-0.76	-0.38	-0.12	-0.29	-0.36	-0.34	-0.62	-0.6	0.06	-0.25	-0.38	-0.06	-0.29	-0.34	-0.62	-0.58	-0.79	-1.6
YEL003W	PFD2   PROTEIN FOLDING     CHAPERONE; TUBULIN FOLDING	-0.38	0.06	-0.15	0.03	-0.47	0.18	-0.43	0.1	-0.15	-0.01		-0.18	-0.17	-0.4	-0.23	-0.1	0.01	-0.2	0.11	0.38	-0.1	0.11	0.21	0.3	0.32	-0.15	-0.23	-0.27	0.38	-0.32	-0.42		-0.2	-0.06	0.03	0.25	-0.58	-0.49	-0.18	0.06	-0.18	-0.15	-0.17	0.34	-0.17	-0.2	0.26	0.11	1.06	0.77	1.61	1.04	0.86	0.1	0.68	0.01	0.95	0.95	-0.09	-0.64	-0.09	-0.62	-0.58	-0.25	0.19	0.53	-0.22	-0.18	-0.32	0.38	-0.6	-0.18		-0.17	0.23	-0.17	-0.4	-0.79	-1.09
YJL013C	MAD3   CELL CYCLE       SPINDLE CHECKPOINT COMPLEX SUBUNIT	-0.09	1.12	-0.01		-0.22	0.7	0.07	0.28	-0.03	0.38	-0.18	0.04		0.04	-0.14	0.31		0.26	-0.09	-0.12	0.07	-0.56	-0.07	-0.1	0.01	-0.03	-0.17	-0.12	0.06		-0.49	0.07	-0.15	0.01	0.23	0.04		-0.06	-0.38	-0.07	0.11	-0.15	-0.1	0.11	-0.25	-0.4	-0.04	-0.09	0.75	0.91	1.8	0.82	1.04	-0.58	0.52	-0.34	1.46	1.59	-0.14	-0.36	-0.29	0.08	-0.4	0.7	-0.06		-0.12	-0.42	-0.74	0.11	-0.15	-0.12	0.03	-0.09	0.12	0.07	-0.17	-0.2	-0.56
YER016W	BIM1   CYTOSKELETON        MICROTUBULE BINDING PROTEIN	0.03	-0.4	0.1	-0.07	0.28	0.3	0.15	-0.15	-0.36	-0.25	0.18	0.1	-0.03	0.01	0.15	-0.09	0.06	-0.23	-0.86	-0.62	-0.56	-0.47	-0.3	-0.4	-0.17	-0.06	-0.23	-0.2	-0.27	-0.06	-0.18	-0.27	-0.62	-0.17	0.38	-0.09	-0.29	-0.79	-0.04	0.33	0.34	-0.06	-0.64	-0.27	0.43	0.33	0.54	-0.12	0.96	0.93	1.55	1.32	1.09	-0.18	0.28	0.04	1.49	1.2	-0.29	-0.14	-0.36	-0.25	-0.2	-0.25	0.1	0.01	-0.29	-0.43	-0.3	0.32	-0.84	-0.94	-0.03	0.12	0.44	-0.17	-0.03	-0.07	-0.36
YBR049C	REB1   TRANSCRIPTION       TRANSCRIPTION FACTOR	-0.71	-0.34	-0.84	-0.32	-0.34	0.15	0.14		-0.23	-0.22	-0.62	-0.27	-0.23	0.06	-0.18	0.65	-0.15	0.12	-0.67	-0.25	-0.62	-0.43	-0.49	-0.38	-0.17		0.38	0.11	-0.29	0.43	0.14	0.04		0.23	-0.09	-0.29	-0.58	-0.09	-0.29	0.48	0.26		-0.54	0.08	-1.03	-0.2	-1	0.06	0.57	0.94	1.33	1.4	1.39	-0.4	0.3	0.31	1.51	1.05	-0.3	0.01	-0.27	0.3	-0.1	-0.09	-0.42	-0.51	-0.1	-0.2	-0.1	0.08	-0.43	-0.43	0.21	0.01	0.37	-0.12	-0.62	-0.67	-0.6
YLR191W	PEX13  PEROXISOMAL PROTEIN TARG DOCKS PEROXISOMAL PROTEIN RECEPTOR	-0.29	0.08	-0.07	-0.07	-0.17	-0.22	0.11	-0.22	0.01	-0.09	-0.04	-0.1	0.06	-0.27	-0.09	-0.14	-0.67	-0.15	-0.58	-0.3	-0.12	0.11	-0.17	0.07	0.04	0.06	0.25	0.11	-0.25	0.21	0.28	0.14	0.04	0.53	0.33	0.38	0.37	0.52	0.48	0.57	0.34	0.41	-0.01	-0.29	0.41	0.07	0.2	-0.03	0.57	0.88	1.12	1.1	1.54	-0.2	0.23	0.4	0.96	1.26	-0.09	-0.03	0.21	0.07	-0.09	0.26	-0.2	-0.43	-0.22	-0.42	-0.22	0.4	0.01	0.42	0.12	-0.01	0.19	-0.25	-0.38	0.38	0.48
YBL084C	CDC27  CELL CYCLE       ANAPHASE-PROMOTING COMPLEX SUBUNIT	0.16	0.32	0.59	0.33	0.16	0.25	0.19	0.24	-0.01	0.1	0.18	-0.1	0.49	-0.3	0.69	0.53	0.06	0.23	0.04	-0.84	-0.09	-0.01	-0.67	-0.12	-0.6	-0.76	-0.32	-0.43	-0.56	-0.36	-1.18	-0.67	0.14	0.1	-0.67	-0.54	-0.22	-0.12	-0.07	0.52	0.23	-0.34	-0.17	-0.32	-0.54	-0.34	-0.38	-0.1	-0.2	0.73	2.93	3.11	3.07	-1.22	2.13	2.12	0.68	0.54	-0.36	0.48	0.06	0.18	-0.06	1.26	-0.67	-0.4	-0.64	-0.76	-0.23	0.01	0.08		-0.14	-0.29	-0.67	-0.86	-0.62	-0.18	0.24
YGL003C	CDH1   CELL CYCLE       CYCLIN DEGRADATION	0.03	-0.17	-0.2	-0.42		-0.23	0.03	-0.06	-0.15	-0.03	-0.25	-0.18	-0.15	-0.36	-0.15	-0.1	-0.06	-0.2	0.65	-0.23	-0.51	-0.54	-0.29	-0.32	-0.4	-0.3	-0.27	-0.36	-0.54	0.01	-0.04	-0.27	0.4	-0.01	-0.12	0.12	0.24	0.41	0.36	0.33	-0.18	0.28	0.07	-0.51	0.18	0.01	-0.07	-0.27	-0.58	0.6	2.1	1.84	1.86	-1.36	1.18	0.23	0.08	-0.03	-0.04	0.1	-0.12	0.12	0.04	0.26	-0.6	-0.49	-0.4	-0.47		0.34	0.24	-0.06	-0.01	-0.01	0.07	-0.45	-0.43	0.45	0.61
YIL045W	PIG2   GLUCOSE REPRESSION    (PUTATIVE) GLC7P REGULATORY SUBUNIT	-0.56	-0.14	-0.27	-0.69	0.73	-0.25	-0.58	-0.3	-0.38	0.11	-0.27	-0.15	-0.17	-0.32	-0.62	-0.23	-0.54	-0.3	2.04	0.39	-0.25	-0.62	-0.76	-0.42	-0.29	-0.34	-0.38	-0.49	-0.38	-0.29	-0.25	-0.4	-0.29	0.07	0.06	-0.06	-0.01	-0.01	0.1	0.12	-0.14	-0.18	0.08	0.55	0.45	0.29	0.42	-0.04	0.2	0.55	2.26	2.24	2.7	-0.25	1.33	1.62	1.1	-0.01	-0.04	0.2	0.11	-0.25	-0.14	-0.12	-0.34	0.23	-0.12	-0.1	-0.09	0.19	-0.29	-0.36	-0.03	-0.17	-0.1	-0.25	-0.25	0.63	0.19
YKR002W	PAP1   MRNA POLYADENYLATION     POLY(A) POLYMERASE	0.1	0.5	0.11	0.58	0.01	0.14	0.01	0.04	0.11	-0.09	0.23	0.08	0.06	-0.07	0.06	0.37	-0.3	0.08	0.01	-0.01	-0.17	-0.25	-0.34	-0.18	-0.3	-0.17	0.04	0.14	0.03	0.18	0.11	-0.07	-0.27	-0.15	-0.36	-0.15	-0.4	-0.3	-0.09	-0.29	-0.23	-0.22	-0.22	-0.43	0.12	-0.22	-0.18	-0.22	0.34	0.67	1.76	1.39	1.38	-0.43	1.14	0.67	0.4	0.5	-0.12	-0.03	0.07	-0.3	-0.17	-0.36	-0.03	-0.22	-0.09	-0.25	-0.04	-0.51	-0.18	0.07	-0.62	0.08	0.14	-0.29	-0.2	0.26	-0.04
YOL068C	HST1   SILENCING        SIR2P HOMOLOG	-0.45	-0.32	-0.71	-0.29	-0.6	-0.47	-0.2	-0.54	-0.17	-0.49	-0.62	-0.51	-0.17	-0.51	-0.58	-0.23	-0.18	-0.43	0.16	-0.1	0.44	-0.29	-0.15	-0.23	-0.04	0.04	-0.12	0.15	0.21	-0.03	0.18	0.04	-0.14	-0.22	-0.2	-0.04		-0.34	-0.6	-0.51	-0.14	-0.15	-0.3	0.04	-0.38	-0.56	-0.4	-0.42	0.19	1.29	2.23	1.83	1.76	-1.22	0.68	0.23	0.86	1.52	-0.47	-0.12	-0.42	-0.54	-0.15	-1.29	-0.09	-0.36	-0.2	-0.09	-0.22	0.23	-0.76	0.54	0.03	-0.43	-0.18	-0.25	-0.47	-0.32	-0.92
YDL080C	THI3   THIAMINE METABOLISM    ALPHA-KETOISOCAPROATE CARBOXYLASE	-0.43	0.12	-0.54	-0.36	-0.81	-0.12	-0.62	-0.1	-0.15	-0.15	-0.27	-0.34	-0.38	-0.3	-0.54	0.03	-0.17	-0.03	-0.01	0.2	0.21	0.26	0.08	0.11	0.19	0.01	-0.12	-0.04	0.1	0.01	0.1	0.11	-0.27	-0.07	-0.22	-0.14	-0.36	-0.17	-0.29	-0.23	-0.23	0.11	-0.23	0.53	-0.06	-0.29	-0.38	-0.3	0.63	0.79	2.56	2.09	1.58	-1.4	0.37	-0.22	1.03	1.6	-0.38	-0.56	-0.27	-0.34	-0.15	-0.71	-0.09	-0.27	0.16	-0.54	0.28	0.12	-0.34	-0.43	-0.29	0.58	0.08	-0.18	-0.49	-0.04	-0.22
YKR019C	IRS4   SILENCING (RDNA)    UNKNOWN	-0.23	0.46	-0.27	-0.09	-0.04	-0.18	-0.14	-0.2	-0.2	-0.06	-0.15	-0.2	-0.36	-0.23	0.18	-0.23	0.14	-0.27		-0.56	-0.51	0.11	-0.18	0.08	-0.38	-0.03	-0.03	-0.06	-0.2	-1.06	-0.58	-0.32	-0.67	-0.22	0.1	-0.04	-0.51	-0.29	-0.89	-0.36	0.19	-0.42	-0.64	-0.12	-0.69	-0.04	-0.79	-0.43	0.26	0.83	2.45	1.91	1.6	-0.62	0.74	0.29	1.11	1.42	-0.56	-0.18	0.32	0.25	-0.2	0.43	-0.42	-0.3	-0.6	-0.49	-0.42	0.43	0.75	0.3	-0.38	-0.34		-0.42	-0.64	0.25	-0.32
YDR191W	HST4   SILENCING (TELOMERE)     SIMILAR TO NUCLEAR LAMINS	-0.14	0.19	0.11	-0.2	-0.58	-0.56	-0.69	-0.27	0.51	0.06	0.43	-0.07	0.04	-0.27	-0.32	0.03	-0.27		-0.15	-0.3	-0.03	-0.15	-0.22	-0.34	-0.34	-0.38	-0.54	-0.15	-0.3	-0.56	-0.4	0.01	0.53	0.41	-0.81	-0.94	-0.42	0.8	1.08	-0.03	-0.64	-0.47	-0.01	1.09	0.74	0.34	0.45	-0.32	0.7	1.77	2.35	2.38	2.73	-1.15	0.78	0.23	1.01	1.53	0.08	-0.14		-0.01	-0.4	0.12	-0.43	-0.43	-0.45	-0.18	-0.01	0.73	0.46	0.54	-0.38	-0.34	0.07	-0.38	-0.76	0.11	0.03
YFR028C	CDC14  MITOSIS        PROTEIN PHOSPHATASE	-0.64	-0.76	-0.92	-0.6	-0.69	0.04	-0.23	-0.27	-0.03	0.07	-0.32	-0.36	-0.18	-0.27	-0.15	-0.04	-0.38	-0.1	-0.92	-0.09	0.65	-0.4	-0.14	0.03	-0.17	0.33	0.26	0.28	0.3	-0.06	-0.03	0.07	-1.09	-0.15	-0.34	-0.27	-0.32	-0.2	-0.07	1.6	-0.03	-1.64	-0.49	0.23	-1.15	-0.38	-1.06	-0.32	1.3	1.95	2.67	2.54	3.28	-1.03	0.86	0.82	1.96	2.49	-0.23	-0.25	-0.29	-0.25	0.28	-0.01	-0.2	-0.47	-0.23	-0.22	-0.22	0.07	-0.74	-0.18	-0.04	-0.18	-0.1	-0.2	-0.47	-0.06	-1.22
YJR099W	"YUH1   PROTEIN DEGRADATION, UBI UBIQUITIN-SPECIFIC PROTEASE"	0.03	-0.2	0.04	-0.27	0.06	-0.42	0.24	-0.12	-0.04	-0.23	-0.07	-0.23	-0.04	-0.45	-0.14	-0.36	-0.04	-0.29	-0.58	-0.45	-0.45	-0.67	-0.67	-0.76	-0.64	-0.42	-0.18	-0.45	-0.29	0.14	0.1	-0.14	-0.03	-0.17	-0.04	-0.03	0.23	0.29	0.64	0.77	0.32	0.04	0.32	0.11	0.51	0.58	0.82	-0.45	0.59	1.43	3.11	2.49	2.44	-0.62	1.51	0.96	0.83	1.51	-0.36	-0.15	-0.22	0.28	0.12	-0.12	-0.15	-0.23	-0.09	-0.49	-0.23	0.2	-0.27	-0.84		0.01	0.37	0.2	0.28	0.88	0.32
